id,school,nickname,abbreviation,home_url,arena,logo_url,conference_id
73,Marquette,Golden Eagles,,http://www.espn.com/mens-college-basketball/team/_/id/269/marquette-golden-eagles,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png,7
74,Providence,Friars,,http://www.espn.com/mens-college-basketball/team/_/id/2507/providence-friars,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png,7
75,Seton Hall,Pirates,,http://www.espn.com/mens-college-basketball/team/_/id/2550/seton-hall-pirates,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2550.png,7
76,St. John's,Red Storm,,http://www.espn.com/mens-college-basketball/team/_/id/2599/st.-john's-red-storm,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png,7
77,Villanova,Wildcats,,http://www.espn.com/mens-college-basketball/team/_/id/222/villanova-wildcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png,7
78,Xavier,Musketeers,,http://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2752.png,7
79,Eastern Washington,Eagles,,http://www.espn.com/mens-college-basketball/team/_/id/331/eastern-washington-eagles,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/331.png,8
80,Idaho,Vandals,,http://www.espn.com/mens-college-basketball/team/_/id/70/idaho-vandals,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/70.png,8
81,Idaho State,Bengals,,http://www.espn.com/mens-college-basketball/team/_/id/304/idaho-state-bengals,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/304.png,8
82,Montana,Grizzlies,,http://www.espn.com/mens-college-basketball/team/_/id/149/montana-grizzlies,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/149.png,8
83,Montana St,Bobcats,,http://www.espn.com/mens-college-basketball/team/_/id/147/montana-st-bobcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png,8
84,N Colorado,Bears,,http://www.espn.com/mens-college-basketball/team/_/id/2458/n-colorado-bears,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png,8
85,North Dakota,Fighting Hawks,,http://www.espn.com/mens-college-basketball/team/_/id/155/north-dakota-fighting-hawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/155.png,8
86,Northern Arizona,Lumberjacks,,http://www.espn.com/mens-college-basketball/team/_/id/2464/northern-arizona-lumberjacks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2464.png,8
87,Portland St,Vikings,,http://www.espn.com/mens-college-basketball/team/_/id/2502/portland-st-vikings,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png,8
88,Sacramento St,Hornets,,http://www.espn.com/mens-college-basketball/team/_/id/16/sacramento-st-hornets,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png,8
89,Southern Utah,Thunderbirds,,http://www.espn.com/mens-college-basketball/team/_/id/253/southern-utah-thunderbirds,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png,8
90,Weber State,Wildcats,,http://www.espn.com/mens-college-basketball/team/_/id/2692/weber-state-wildcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2692.png,8
91,Campbell,Fighting Camels,,http://www.espn.com/mens-college-basketball/team/_/id/2097/campbell-fighting-camels,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png,9
92,Charleston Southern,Buccaneers,,http://www.espn.com/mens-college-basketball/team/_/id/2127/charleston-southern-buccaneers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png,9
93,Gardner-Webb,Bulldogs,,http://www.espn.com/mens-college-basketball/team/_/id/2241/gardner-webb-bulldogs,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2241.png,9
94,High Point,Panthers,,http://www.espn.com/mens-college-basketball/team/_/id/2272/high-point-panthers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png,9
